0.03219731s, 0.00787896s, 0.00011177s, 0.02420657s, 277.21MB
0.03624483s, 0.00833548s, 0.00026202s, 0.02764733s, 277.21MB
0.03720446s, 0.00833179s, 0.00026672s, 0.02860595s, 277.21MB
0.03449503s, 0.00839454s, 0.00013741s, 0.02596309s, 277.21MB
0.03871094s, 0.00650632s, 0.00028770s, 0.03191692s, 277.21MB
0.03182138s, 0.00778370s, 0.00025775s, 0.02377993s, 277.21MB
0.02948308s, 0.00756649s, 0.00012647s, 0.02179012s, 277.21MB
0.03450807s, 0.00330162s, 0.00013161s, 0.03107484s, 277.21MB
0.03414815s, 0.00868815s, 0.00024404s, 0.02521596s, 277.21MB
0.03809472s, 0.00858176s, 0.00041906s, 0.02909389s, 277.21MB
0.04129970s, 0.00804160s, 0.00027308s, 0.03298502s, 277.21MB
0.03596365s, 0.00806134s, 0.00012528s, 0.02777703s, 277.21MB
0.03513307s, 0.00828375s, 0.00014058s, 0.02670873s, 277.21MB
0.04136129s, 0.00843814s, 0.00026847s, 0.03265467s, 277.21MB
0.03674227s, 0.00701897s, 0.00025434s, 0.02946896s, 277.21MB
0.03805528s, 0.00867817s, 0.00013708s, 0.02924004s, 277.21MB
0.03537993s, 0.00783916s, 0.00015784s, 0.02738293s, 277.21MB
0.03932207s, 0.00804035s, 0.00027350s, 0.03100822s, 277.21MB
0.03794774s, 0.00832782s, 0.00028803s, 0.02933190s, 277.21MB
0.03687334s, 0.00855159s, 0.00015883s, 0.02816292s, 277.21MB
0.03776349s, 0.00858212s, 0.00013996s, 0.02904140s, 277.21MB
0.03989689s, 0.00775668s, 0.00023900s, 0.03190121s, 277.21MB
0.03492143s, 0.00757315s, 0.00021311s, 0.02713517s, 277.21MB
0.03763694s, 0.00648545s, 0.00025154s, 0.03089995s, 277.21MB
0.03287608s, 0.00560928s, 0.00015000s, 0.02711680s, 277.21MB
0.03884915s, 0.00639940s, 0.00025502s, 0.03219473s, 277.21MB
0.03514784s, 0.00766548s, 0.00024952s, 0.02723284s, 277.21MB
0.03134437s, 0.00541950s, 0.00016811s, 0.02575675s, 277.21MB
0.03917775s, 0.00824383s, 0.00026960s, 0.03066432s, 277.21MB
0.02358141s, 0.00321579s, 0.00014836s, 0.02021726s, 277.21MB
0.03296229s, 0.00313715s, 0.00014621s, 0.02967893s, 277.21MB
0.03625822s, 0.00767520s, 0.00028617s, 0.02829685s, 277.21MB
0.02628998s, 0.00327127s, 0.00013765s, 0.02288106s, 277.21MB
0.03173765s, 0.00806661s, 0.00030973s, 0.02336131s, 277.21MB
0.03114600s, 0.00863111s, 0.00047738s, 0.02203751s, 277.21MB
0.03265401s, 0.00438734s, 0.00029132s, 0.02797536s, 277.21MB
0.03776276s, 0.00418034s, 0.00021790s, 0.03336452s, 277.46MB
0.03600119s, 0.00350066s, 0.00009768s, 0.03240285s, 277.46MB
0.03530436s, 0.00796294s, 0.00014565s, 0.02719577s, 277.46MB
0.03700906s, 0.00735960s, 0.00019862s, 0.02945084s, 277.46MB
0.03254420s, 0.00552754s, 0.00011698s, 0.02689968s, 277.46MB
0.04085227s, 0.00809421s, 0.00020181s, 0.03255625s, 277.46MB
0.04389751s, 0.00864345s, 0.00010598s, 0.03514808s, 277.46MB
0.03821805s, 0.00862580s, 0.00026606s, 0.02932619s, 277.46MB
0.03652135s, 0.00658556s, 0.00016944s, 0.02976635s, 277.46MB
0.03802548s, 0.00662575s, 0.00018339s, 0.03121634s, 277.46MB
0.04175188s, 0.00770620s, 0.00013143s, 0.03391425s, 277.46MB
0.04722898s, 0.00605849s, 0.00011309s, 0.04105739s, 277.46MB
0.03552779s, 0.00499234s, 0.00013093s, 0.03040452s, 277.98MB
0.03960579s, 0.00449849s, 0.00013466s, 0.03497263s, 277.71MB
0.05134139s, 0.00830511s, 0.00009458s, 0.04294170s, 277.96MB
0.04708934s, 0.00793353s, 0.00021132s, 0.03894448s, 277.96MB
0.04758792s, 0.00799928s, 0.00011440s, 0.03947423s, 277.96MB
0.04314532s, 0.00793644s, 0.00013291s, 0.03507596s, 278.74MB
0.04021067s, 0.00427028s, 0.00011969s, 0.03582070s, 279.25MB
0.05394386s, 0.00782256s, 0.00023820s, 0.04588310s, 278.56MB
